bbl,isndobbisviol,boro,bin,block,lot,issuedate,violationtypecode,violationnumber,housenumber,street,dispositiondate,dispositioncomments,devicenumber,description,ecbnumber,number,violationcategory,violationtype
1020990049,2534,1,1062472,02099,00049,1988-07-26,E,1289C/4,640,W 153RD ST,2005-06-03,CIABNC ADM. DISM.,1P12493,(51)HAVE ELEVATOR FUNCTION PROPERLY IN BOTH DIRECTIONS,,V*072688E1289C/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1011430042,20535,1,1079313,01143,00042,1988-10-06,E,13728\7,124,W 72ND ST,1989-03-20,039-74,1P10609,(32)BRAKE LINNINGS (51)PROVIDE A PARKING DEVICE BY CODE OF THIS                 DEPT,,V*100688E13728\7,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1011430042,20520,1,1079313,01143,00042,1988-10-06,E,13728\8,124,W 72ND ST,1989-03-20,039-74,1P10608,,,V*100688E13728\8,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610045,8889,2,2002814,02461,00045,1988-08-31,E,11765/1,940,GR CONCOURSE,1988-09-20,246-80,2P631,(51) REPAIR SKY LIGHT (52) PORVIDE LIGHT IN PIT UNDER AND ON TOP                OF ELEV. (53) INSTALL PROPER LIGHT IN ELEV. CAB,,V*083188E11765/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610045,8891,2,2002814,02461,00045,1988-08-31,E,11765/2,940,GR CONCOURSE,1988-09-20,246-80,2P632,(51) REPAIR SKYLIGHT (52) PROVIDE LIGHT IN PIT & UNDER AND ON                   TOP OF ELEV. (53) PROVIDE PROPER LIGHT IN ELEV. CAB,,V*083188E11765/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610045,8894,2,2002814,02461,00045,1988-08-31,E,11765/3,940,GR CONCOURSE,1988-09-20,246-80,2P633,(51) REPAIR SKY LIGHT (52) PROVIDE LIGHT UNDER ELEV.AND IN PIT,,V*083188E11765/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610045,4485,2,2002814,02461,00045,1988-08-31,E,11765/5,940,GR CONCOURSE,1990-02-05,248-81,2P635,(38)PROPERLY INSTALL WIRE TO.(47)LIGHT.(51)PROVIDE LIGHT IN PIT &               UNDER & ON TOP OF ELEVATOR.(52)PROVIDE PROPER LIGHT IN ELEVATOR CAB             (53)COVER ALL SPLICE BOXES.(54)REPAIR SKY LIGHT,,V*083188E11765/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610045,4487,2,2002814,02461,00045,1988-08-31,E,11765/4,940,GR CONCOURSE,1991-07-24,,2P634,(47)LIGHT.(51)PROVIDE TOE GUARD.(52)PROVIDE LIGHT IN PIT & UNDER                & ON TOP OF ELEVATOR.(53)PROPERLY INSTALL ALL WIRE ON SHAFTWAY.(54)             COVER ALL SPLICE BOXES.(55)PROVIDE PROPER LIGHT IN ELEVATOR.(56)REPAIR          SKY LIGHT,,V*083188E11765/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610058,5225,2,2002815,02461,00058,1988-08-29,E,11765/2,180,E 164TH ST,1989-10-10,246-80,2P2406,"(01)PROPERLY FUSE.(03)NO GLASS, NO GRILL, CAR DOOR.(21)RENEW                    SPRING & SHACKLE.(34)REMOVE GAP.(51)POST NAME OF ELEVATOR CO. CEASE             USE UNTIL ITEMS #3, 7, 15, 21, & 34 ARE COMPLIED WITH",,V*082988E11765/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610058,4481,2,2002815,02461,00058,1988-08-31,E,11765/6,180,E 164TH ST,1989-03-06,246-80,2P591,(38)REPLACE COVER.(47)LIGHT.(51)PROVIDE LIGHT IN PIT & UNDER ELE                (52)PROVIDE PROPER LIGHT IN ELEVATOR,,V*083188E11765/6,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610058,4480,2,2002815,02461,00058,1988-08-31,E,11765/7,180,E 164TH ST,1989-03-06,246-80,2P592,(20)PROVIDE COVER.(38)REPLACE COVER.(47)LIGHT.(51)REPAIR SKYLIGHT               (52)COVER ALL SPLICE BOXES.(53)PROVIDE LIGHT IN PIT & UNDER ELEVATOR            (54)PROVIDE PROPER LIGHT IN ELEVATOR,,V*083188E11765/7,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610058,4479,2,2002815,02461,00058,1988-08-31,E,11765/8,180,E 164TH ST,1989-03-06,246-80,2P593,(35)PROVIDE COVERS.(47)LIGHT.(51)PROVIDE LIGHT IN PIT & UNDER                   ELEVATOR.(52)PROVIDE PROPER LIGHT IN ELEVATOR,,V*083188E11765/8,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610058,4476,2,2002815,02461,00058,1988-08-31,E,11765/9,180,E 164TH ST,1989-03-06,246-80,2P594,(03)GLASS.(34)FILE A BN.(47)LIGHT.(51)REPAIR SKY LIGHT.(52)REPAIR               MAIN SWITCH.(53)REPAIR CAB WALL.(54)PROVIDE LIGHT IN PIT & UNDER ELEV           (55)COVER ALL SPLICE BOXES.(56)PROVIDE PROPER LIGHT IN ELEVATOR,,V*083188E11765/9,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610090,14091,2,2002822,02461,00090,1988-09-01,E,11765/1,1000,GR CONCOURSE,1991-03-14,292-82,2P1637,(51)REPAIR SAFETY EDGE.(15)PROVIDE PROPER TOP & SECURE(52)PROVIDE               PROPER LIGHT IN ELEV.(53)CEASE USE UNTIL ITEMS 11 & 12 AND JUMPERS ARE          REMOVE FROM MAIN LINE FUSE.(35)REPLACE COVER(38)REPLACE COVER(39)COVER          (40)COVER (47)LIGHT SECURE DOOR,,V*090188E11765/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610090,14502,2,2002822,02461,00090,1988-09-01,E,11765/2,1000,GR CONCOURSE,1991-03-14,292-82,2P1638,(51)REPLACE ALL SPLICE BOX COVER (52)PROPERLY INSTALL ALL WIRE                  UNDER ELEV. (53)PROVIDE PROPER LIGHT IN ELEV,,V*090188E11765/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024960046,17040,2,2003025,02496,00046,1988-10-18,E,1119C5/02,1184,CROMWELL AVE,1988-12-27,353-86,2P403,51)COVER HAND HOLE COVERS ON SHAFT DOORS 52)CLEAN OF CAR,,V*101888E1119C5/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028080012,19518,2,2007683,02808,00012,1988-10-25,E,144506/01,1939,GR CONCOURSE,1991-06-22,,2P1902,(15)SECURE.(47)PROVIDE LOCK.(51)PROPERLY LABEL CAR BUTTON PANEL                 (52)PROVIDE PIPING FROM HOISTWAY MOTOR TO CONTROLLER.(53)SECURE SMOKE           HOLE GRATING.(54)ADJUST HOISTWAY DOORS FOR PROPER CLOSING.(55)RENEW             BROKEN CWT SHACKLE SPRINGS.(56)SECURE INTERLOCKS WHERE NECESSARY,,V*102588E144506/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028080012,19513,2,2007683,02808,00012,1988-10-25,E,144506/02,1939,GR CONCOURSE,1991-06-22,,2P1903,(15)SECURE.(47)PROVIDE LOCK.(51)PROPERLY LABEL CAR BUTTON PANEL                 (52)PROVIDE PIPING FROM HOIST MOTOR TO CONTROLLER.(53)SECURE SMOKE              HOLE GRATING.(54)SECURE INTERLOCKS WHERE NECESSARY,,V*102588E144506/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028270046,4090,2,2007907,02827,00046,1988-08-22,E,11766/2,1895,MORRIS AVE,1988-09-30,297-83,2P1752,(51)REPAIR SAFETY EDGE.(52)REMOVE CANS OF OIL & CLEANING FLUID                  FROM TOP OF ELEVATOR.(53)FILE BN FOR BASEMENT CUT OFF,,V*082288E11766/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028270046,48047,2,2007907,02827,00046,1988-11-29,E,1176C/2,1895,MORRIS AVE,1989-07-18,297-83,2P1752,(51)REMOVE GAP IN BACK OF CAR DOOR.(52)REPLACE SAFETY EDGE,,V*112988E1176C/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028350026,15674,2,2008010,02835,00026,1988-09-09,E,14456/2,1505,GR CONCOURSE,1988-11-01,353-86,2P1934,"(51)RESTORE ELEV.TO SERVICE SO A PROPER INSPECTOR MAY BE MADE BY                AN INSPECTOR FROM THIS DEPT.(52)SECURE SMOKE HOLE GRATEING(53)PROPERLY          FUSE CONTROLLER (54)PROPERLY TAG GOVERNOR(55)FILE A BN APP.FOR ALL NEW          EQUIPMENT INSTALLED HOISTWAY DOORS,1 FLOOR,CAR DOORS, PERMANENT MAGNET          SWITCHES TO BE TESTED INSP.& APPROVED",,V*090988E14456/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028350026,15667,2,2008010,02835,00026,1988-09-09,E,14456/1,1505,GR CONCOURSE,1988-11-02,353-86,2P847,(51)REPAIR MOTOR ROOM LIGHT FIXTURE(52)REPAIR MOTOR RAILING                     (53)SUBMIT A DOOR LETTER FOR AUTHORIZED INSTALLATION OF CAR DOORS &             FIRST FLOOR DOOR.(54)FILE A BN APP.FOR ILLEGALLY INSTALLED PERMANENT            MAGNET SWITCHES TO BE TESTED INSPECTION & APPROVED BY AN INSPECTOR              FROM THIS DEPT,,V*090988E14456/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2031560009,4298,2,2013631,03156,00009,1988-08-10,E,1119C-3/4,2072,GR CONCOURSE,1991-06-25,,2P237,,,V*081088E1119C-3/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2031600024,17531,2,2013743,03160,00024,1988-10-25,E,144506/05,2065,GR CONCOURSE,1989-02-28,030-74,2P239,(03)PROVIDE CAR DOOR GUARD.(51)REPLACE CWT PIT SPRING.(52)SECURE                OVERHEAD DOOR,,V*102588E144506/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2032250094,19622,2,2014941,03225,00094,1988-10-05,E,14457/5,2300,LORING PL,2005-07-07,CIABNC ADM. DISM.,2P535,51-PROPERLY SECURE INTERLOCKS WHERE NECESSARY.52-MAKE HOISTWAY                  DOORS SELF CLOSING AND LATCHING.53-PROVIDE PROPER LIGHTING IN CAR               54-REMOVE WATER FROM PIT. 55-FILE A BN APP FOR ILLEGALLY INSTALLED              CAR DOORS TO BE INSPECTED AND APPROVED BY AN INSP FROM THIS DEPT                56-RESTORE ELEVATOR TO SECURE,,V*100588E14457/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2033560146,14828,2,2018647,03356,00146,1988-09-19,E,144507/06,3525,DECATUR AVE,1988-10-12,041-74,2P1410,51)REMOVE SCRAPEING NOISE FROM 6 RAKE (RIVETS SCRAPEING PULLEY)                 15)SECURE,,V*091988E144507/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2037670082,15955,2,2024878,03767,00082,1988-09-29,E,130303/02,1221,WHITE PLAINS RD,1989-01-30,353-86,2P785,,,V*092988E130303/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2037670082,15182,2,2024878,03767,00082,1988-09-29,E,130303/03,1221,WHITE PLAINS RD,1989-01-30,353-86,2P786,35)COVERS,,V*092988E130303/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2037670082,15185,2,2024878,03767,00082,1988-09-29,E,130303/04,1221,WHITE PLAINS RD,1989-01-30,353-86,2P787,15)SECURE,,V*092988E130303/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2037670082,15201,2,2024878,03767,00082,1988-09-29,E,130303/05,1221,WHITE PLAINS RD,1989-01-30,353-86D,2P788,35)COVERS,,V*092988E130303/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2039470001,15111,2,2041215,03947,00001,1988-09-21,E,12412/2,2141,STARLING AVE,1988-11-08,297-83,2P905,(51) RENEW TOP EXIT COVER(APPROVED TYPE)(52)ELIMINATE EXCESSIVE                 PLAY CAR & RAILS (53)INSTALL PROPER LIGHTING IN MOTOR ROOM(54)INSTALL           PROPER LIGHTING IN MOTOR ROOM (54)INSTALL COVER REVERSE PHASE RELAY,,V*092188E12412/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2039470001,15108,2,2041215,03947,00001,1988-09-21,E,12412/1,2141,STARLING AVE,1991-03-06,,2P904,(51)RENEW CAR FLOORING(52)REINSTALL DROP CEILING IN CAR(53)RENEW                CAB WHERE NECESSARY(54)PATCH HOLES IN MOTOR ROOM FLOOR(55)REPLACE               VISION GLASS CAR DOOR (56)ELIMINATE EXCESSIVE PLAY -CAR & RAILS,,V*092188E12412/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2039470001,15103,2,2041215,03947,00001,1988-09-21,E,12412/3,2141,STARLING AVE,1991-03-06,ECB ISSUED,2P931,(51)INSTALL TOE GUARD(52)ELIMINATE SLACK-SELECTOR DRIVE CHAIN                   (53)REPLACE FAN IN CAR (54)ELIMINATE EXCESSIVE PLAY CAR & RAILS,,V*092188E12412/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2039470001,15107,2,2041215,03947,00001,1988-09-21,E,12412/4,2141,STARLING AVE,1991-03-06,ECB ISSUED,2P932,(51)ELIMINATE EXCESSIVE PLAY IN CAR & RAILS (52)ELIMINATE WATER                 CONDITION IN PIT. (53)PATCH MOTOR ROOM FLOOR,,V*092188E12412/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2043170040,18202,2,2049375,04317,00040,1988-10-20,E,124103/02,2185,BOLTON ST,1990-01-22,,2P1656,(51)BLANK UP HAND HOLES ON HOISTWAY DOORS.(52)CARBONS & CONTACTS                REPLACE.(53)ELIMINATE EXCESSIVE PLAY CAR & RAILS.(54)RENEW CAR DOOR             GIBS.(55)INSTALL WIRES FROM MAIN MACHINE IN ELECTRICAL SPLICE BOX,,V*102088E124103/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2044270017,38117,2,2051276,04427,00017,1988-11-21,E,124101/05,2526,BRONX PARK EAST,1989-07-12,285-82,2P640,(51) PROPERLY WIRE CAR LIGHTS (52) INSTALL GUARDS FOR CAR LIGHTS                (53) COVER HAND HOLES IN HOISTWAY DOORS,,V*112188E124101/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2057540090,2285,2,2083557,05754,00090,1988-08-04,E,13038/2,225,W 232 ST,1990-10-30,311-84,2P1259,(51)CLEAN CAR TOP.(52)PROVIDE PROTECTION FOR LIGHT IN CAR.(53)                  PROVIDE TOE GUARD.(54)COVER HOLES IN CAR DOOR,,V*080488E13038/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3014120017,1111,3,3038023,01412,00017,1988-08-04,E,1448D/2,1496,CARROLL ST,1989-06-22,226-79,3P2600,"(51) FILE BN FOR NEW CONTROL BOARD, DOOR OPERATOR, INTERLOCKS",,V*080488E1448D/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3014120017,9720,3,3038023,01412,00017,1988-06-02,E,14560903,1496,CARROLL STREET,1988-10-26,226-79,,,,V*060288E14560903,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3017000062,15157,3,3047981,01700,00062,1988-09-06,E,1448D/4,575,HERKIMER ST,1990-06-27,,3P6276,"51- REPLACE SAFETY EDGE.  52-PROVIDE PROPER VENTILATION ON                      ELEVATOR,REPAIR FAN. 53- PROVIDE COVER FOR FAN",,V*090688E1448D/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050430071,13297,3,3115582,05043,00071,1988-09-26,E,123004\02,171,HAWTHORNE ST,1991-11-26,,3P4845,(15) PROVIDE SECURE TOP EXIT COVERS,,V*092688E123004\02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050860037,13492,3,3116712,05086,00037,1988-09-30,E,145604/01,58,LINDEN BLVD,1990-04-16,251-81,3P1147,(51)PROVIDE ACCESS TO MOTOR ROOM,,V*093088E145604/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210018,19840,3,3324476,01221,00018,1988-10-14,E,1228D/01,777,ST MARKS AVENUE,1988-11-30,238-80,3P3395,(51)MUST FILE FOR NEW CONTROLLER AND BRAKE,,V*101488E1228D/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210053,19827,3,3341622,01221,00053,1988-10-14,E,1228D/03,805,ST MARKS AVE,1991-04-12,238-80,3P954,(15)SECURE  (51)REPAIR OR RENEW CAB FLOORING,,V*101488E1228D/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210053,19836,3,3341622,01221,00053,1988-10-14,E,1228D/02,805,ST MARKS AVE,1992-03-07,,3P953,(15)SECURE,,V*101488E1228D/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210053,19843,3,3341622,01221,00053,1988-10-17,E,1228D/01,805,ST MARKS AVE,1992-03-07,,3P955,(15)SECURE  (51)RETURN TO SERVICE,,V*101788E1228D/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012680001,25817,4,4029194,01268,00001,1988-11-09,E,13704/01,81-06,34 AV,1992-03-10,038/74,4P2158,"(2)PROPERLY WIRE(3)GLASS SECURE(15)SECURE FRAME TOP OF CAR(18)                  FILE BN &OBTAIN A PERMIT FROM THIS DEPT FOR BSMT KEY CUT OUT SWITCH             (33)REPAIR BSMT 1 FLR,2 FLR DOOR HINGE FOR FULL&PROPER SWING(51)REOPEN          CAB WALL VENT HOLE & REPAIR VEN GUARD PROPERLY (52)PROVIDE MISSING CAB          HAND RAILS",,V*110988E13704/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012810065,26576,4,4029695,01281,00065,1988-11-16,E,1161D/05,35-21,81 ST,1989-05-16,039-74,4P314,(29) REMOVE EXCESSIVE NOISE FROM MAIN MACHINE (51) FILE A BN FOR                NEW CONTROLLER AND BSMT CUT OUT SWITCH INSTALLED AND HAVE SAME TESTED           BY THIS DEPT. (52) PROVIE A LIGHT ON TOP OF CAR,,V*111688E1161D/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012810065,26571,4,4029695,01281,00065,1988-11-16,E,1161D/06,35-21,81 ST,1991-12-18,,4P315,(51) FILE A BN FOR CUT OUT SWITCH INSTALLED AND HAVE SAME TESTED                BY THIS DEPT (35) PROVIDE COVER AT BSMT AND 1ST FLOOR,,V*111688E1161D/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012910064,21879,4,4030008,01291,00064,1988-11-12,E,1161D/05,37-21,80TH ST,1990-09-07,,4P306,"51)FILE A BN WITH THIS DEPT TO HAVE PASS 306 CLASSY AS ""NOTION IN                USE""DISMANT RED  ""N""REMOVED""",,V*111288E1161D/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012910064,21872,4,4030008,01291,00064,1988-11-12,E,1161D/03,37-21,80TH ST,1996-11-05,,4P307,7)OVERHEAD GOVERNOR 43)ELIMINATE EXCESSIVE PLAY BETWEEN CAR AND                 RAILS,,V*111288E1161D/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012910064,21868,4,4030008,01291,00064,1988-11-12,E,1161D/04,37-21,80TH ST,1996-11-05,,4P308,7)ELIMINATE EXCESSIVE NOISE IN GOVERNOR 43)ELIMINATE EXCESSIVE                  PLAY BETWEEN CAR AND RAILS,,V*111288E1161D/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
