complaintnumber,status,dateentered,housenumber,zipcode,housestreet,bin,communityboard,specialdistrict,complaintcategory,unit,dispositiondate,dispositioncode,inspectiondate,dobrundate
1025376,CLOSED,1993-08-04,333,10028,EAST 86 STREET,1050027,108,,05,MAN.,1993-11-05,I2,1993-10-22,2024-05-29
1013842,CLOSED,1991-06-06,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1991-09-10,C2,1991-07-01,2024-05-29
1032194,CLOSED,1994-12-02,513,10009,EAST 13 STREET,1005262,103,,05,MAN.,1995-01-04,C2,1994-12-29,2024-05-29
1007312,CLOSED,1990-06-13,96,10014,CHRISTOPHER STREET,1010041,102,,05,MAN.,1990-06-27,I2,1990-06-21,2024-05-29
1018877,CLOSED,1992-04-24,374,10010,2 AVENUE,1020543,106,,63,ELEVR,1992-06-05,A1,1992-04-27,2024-05-29
3030340,CLOSED,1993-07-30,1496,11213,CARROLL STREET,3038023,309,,05,BKLYN,1993-08-19,I2,1993-08-05,2024-05-29
1018893,CLOSED,1992-04-27,94,10014,CHRISTOPHER STREET,1010042,102,,31,MAN.,1992-05-19,I2,1992-05-08,2024-05-29
2005750,CLOSED,1991-04-16,1221,10472,WHITE PLAINS ROAD,2024878,209,,63,ELEVR,1991-06-21,A1,1991-06-19,2024-05-29
2011888,CLOSED,1993-08-26,2185,10462,BOLTON STREET,2049375,211,,63,ELEVR,1997-04-08,J2,1996-04-30,2024-05-29
2011903,CLOSED,1993-08-27,2185,10462,BOLTON STREET,2049375,211,,63,ELEVR,1997-04-08,J2,1996-04-30,2024-05-29
2006386,CLOSED,1991-06-28,1225-27,10472,WHITE PLAINS RD,2024877,209,,40,BRONX,1991-06-28,B1,1991-06-28,2024-05-29
1025071,CLOSED,1993-07-20,94,10014,CHRISTOPHER STREET,1010042,102,,32,MAN.,1993-09-01,I2,1993-08-18,2024-05-29
1007566,CLOSED,1990-06-29,94,10014,CHRISTOPHER STREET,1010042,102,,47,MAN.,1990-08-30,I2,1990-07-30,2024-05-29
3017316,CLOSED,1991-07-11,105,11238,LEFFERTS PLACE,3057679,302,,05,BKLYN,1991-07-23,I2,1991-07-18,2024-05-29
2012019,CLOSED,1993-09-14,3727,10463,FIELDSTON ROAD,2084001,208,,05,BRONX,1993-10-06,I2,1993-09-27,2024-05-29
1006462,CLOSED,1990-04-23,94,10014,CHRISTOPHER STREET,1010042,102,,43,MAN.,1990-07-09,I2,1990-06-29,2024-05-29
1006621,CLOSED,1990-05-02,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1990-07-09,I2,1990-06-29,2024-05-29
1019063,CLOSED,1992-05-06,94,10014,CHRISTOPHER STREET,1010042,102,,20,MAN.,1992-05-19,I2,1992-05-08,2024-05-29
2008688,CLOSED,1992-05-19,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-04-08,J2,1996-04-04,2024-05-29
1019458,CLOSED,1992-06-01,94,10014,CHRISTOPHER STREET,1010042,102,,46,MAN.,1992-06-11,A1,1992-06-03,2024-05-29
4026902,CLOSED,1992-06-03,34-45,11358,FRANCIS LEWIS BLVD,4135129,411,,66,QNS.,1992-12-04,A1,1992-12-01,2024-05-29
3023235,CLOSED,1992-06-05,575,11213,HERKIMER STREET,3047981,303,,63,ELEVR,1992-06-05,A1,1992-06-05,2024-05-29
1008196,CLOSED,1990-08-07,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1990-08-17,A1,1990-08-08,2024-05-29
2006798,CLOSED,1991-08-21,2805,10468,GRAND CONCOURSE,2017465,207,,49,BRONX,1991-11-22,B1,1991-11-22,2024-05-29
1008376,CLOSED,1990-08-17,94,10014,CHRISTOPHER STREET,1010042,102,,49,MAN.,1990-10-04,B1,1990-09-28,2024-05-29
2012471,CLOSED,1993-11-12,940,10451,GRAND CONCOURSE,2002814,204,,40,BRONX,1993-11-19,B1,1993-11-15,2024-05-29
3018476,CLOSED,1991-09-13,378,11211,HOOPER STREET,3063208,301,,28,BKLYN,1991-11-07,I2,1991-10-29,2024-05-29
1008958,CLOSED,1990-09-18,94,10014,CHRISTOPHER STREET,1010042,102,,33,MAN.,1991-10-31,I1,1991-10-23,2024-05-29
1020539,CLOSED,1992-08-04,45,10014,GROVE STREET,1083532,102,,05,MAN.,1992-08-13,A1,1992-08-05,2024-05-29
3012059,CLOSED,1990-09-21,130,11226,MARTENSE STREET,3116896,317,,73,BKLYN,1991-06-07,I2,1991-06-05,2024-05-29
1009074,CLOSED,1990-09-25,301,10010,EAST 21 STREET,1020543,106,,02,MAN.,1990-09-26,I2,1990-09-25,2024-05-29
2012676,CLOSED,1993-12-14,3727,10463,FIELDSTON ROAD,2084001,208,,05,BRONX,1993-12-17,A1,1993-12-15,2024-05-29
1020679,CLOSED,1992-08-12,94,10014,CHRISTOPHER STREET,1010042,102,,46,MAN.,1992-10-22,I2,1992-10-15,2024-05-29
1020753,CLOSED,1992-08-19,94,10014,CHRISTOPHER STREET,1010042,102,,49,MAN.,1992-10-01,B1,1992-09-14,2024-05-29
1020754,CLOSED,1992-08-19,326,10014,BLEECKER STREET,1010044,102,,32,MAN.,1992-10-01,B1,1992-09-14,2024-05-29
2007283,CLOSED,1991-10-11,2185,10453,GRAND CONCOURSE,2013760,205,,41,BRONX,1991-10-11,I2,1991-10-11,2024-05-29
1014009,CLOSED,1991-06-13,313,10010,EAST 22 STREET,1020570,106,,73,MAN.,1991-10-15,K1,1991-10-07,2024-05-29
1009252,CLOSED,1990-10-05,19,10021,EAST 76 STREET,1041795,108,,32,MAN.,1990-10-22,B1,1990-10-15,2024-05-29
2012753,CLOSED,1993-12-29,940,10451,GRAND CONCOURSE,2002814,204,,23,BRONX,1994-01-05,B1,1993-12-30,2024-05-29
2009372,CLOSED,1992-08-21,346,10460,DEVOE AVENUE,2028349,206,,51,BRONX,1992-08-26,G6,1992-08-25,2024-05-29
2004280,CLOSED,1990-09-28,1221,10472,WHITE PLAINS ROAD,2024878,209,,41,BRONX,1990-10-17,A1,1990-10-04,2024-05-29
1025222,CLOSED,1993-07-26,336,10025,WEST 95 STREET,1034185,107,,63,ELEVR,1997-04-08,J2,1995-09-05,2024-05-29
2011457,CLOSED,1993-06-30,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-04-08,J2,1996-04-04,2024-05-29
1009468,CLOSED,1990-10-19,90,10014,CHRISTOPHER STREET,1010043,102,,05,MAN.,1990-11-27,K1,1990-11-15,2024-05-29
4022855,CLOSED,1991-10-24,81-11,11373,45 AVENUE,4038182,404,,05,QNS.,1993-03-10,C2,1993-02-10,2024-05-29
1037173,CLOSED,1995-10-10,105,10030,EDGECOMBE AVENUE,1060908,110,,63,ELEVR,1999-05-28,J2,1997-10-14,2024-05-29
1036972,CLOSED,1995-09-22,221,10011,WEST 23 STREET,1014148,104,,48,MAN.,1999-12-17,I2,1999-12-09,2024-05-29
4044938,CLOSED,1995-02-27,35-65,11372,85 STREET,4035838,403,,48,QNS.,1995-03-29,B1,1995-03-27,2024-05-29
3019382,CLOSED,1991-10-31,276,11213,ROCHESTER AVE,3037371,308,,27,BKLYN,1991-11-18,K1,1991-11-06,2024-05-29
2015949,CLOSED,1995-04-26,3810,10463,BAILEY AVENUE,2016000,208,,73,BRONX,1995-06-14,C2,1995-05-15,2024-05-29
3040345,CLOSED,1995-04-11,805,11213,ST MARKS AVENUE,3341622,308,,05,BKLYN,1995-05-01,I2,1995-04-18,2024-05-29
1009654,CLOSED,1990-10-31,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1991-01-30,I2,1991-01-16,2024-05-29
4046434,CLOSED,1995-05-04,37-21,11372,80 STREET,4030008,403,,63,ELEVR,1997-04-08,J2,1995-10-26,2024-05-29
2000799,CLOSED,1989-05-15,1225-27,10472,WHITE PLAINS RD,2024877,209,,73,BRONX,1989-05-25,I2,1989-05-17,2024-05-29
2000801,CLOSED,1989-05-16,1560,10461,SILVER STREET,2044129,211,,73,BRONX,1989-05-30,I2,1989-05-24,2024-05-29
1035349,CLOSED,1995-06-06,94,10014,CHRISTOPHER STREET,1010042,102,,32,MAN.,1996-08-20,B1,1996-08-05,2024-05-29
2016348,CLOSED,1995-06-08,2664,10458,GRAND CONCOURSE,2017132,207,,03,BRONX,1995-06-09,I2,1995-06-09,2024-05-29
4047640,CLOSED,1995-07-06,37-21,11372,80 STREET,4030008,403,,63,ELEVR,1997-04-08,J2,1995-10-26,2024-05-29
1001980,CLOSED,1989-05-22,155,10028,EAST 84 STREET,1047700,108,,05,MAN.,1989-06-05,I2,1989-05-31,2024-05-29
1031060,CLOSED,1994-09-14,336,10025,WEST 95 STREET,1034185,107,,73,MAN.,1994-10-18,I2,1994-09-16,2024-05-29
2016759,CLOSED,1995-07-25,1221,10472,WHITE PLAINS ROAD,2024878,209,,63,ELEVR,1997-04-08,J2,1997-01-04,2024-05-29
2016769,CLOSED,1995-07-26,150,10452,EAST 165 STREET,2002873,204,,31,BRONX,1995-08-04,I2,1995-07-31,2024-05-29
1036140,CLOSED,1995-07-27,265,10012,LAFAYETTE STREET,1007524,102,,05,MAN.,2007-07-26,L2,2007-07-26,2024-05-29
3042291,CLOSED,1995-08-01,805,11213,ST MARKS AVENUE,3341622,308,,63,ELEVR,1997-04-08,J2,1996-02-10,2024-05-29
1036290,CLOSED,1995-08-04,265,10012,LAFAYETTE STREET,1007524,102,,05,MAN.,1995-08-21,I2,1995-08-08,2024-05-29
3042428,CLOSED,1995-08-07,58,11226,LINDEN BOULEVARD,3116712,314,,63,ELEVR,1997-04-08,J2,1996-11-30,2024-05-29
1036680,CLOSED,1995-08-31,265,10012,LAFAYETTE STREET,1007524,102,,45,MAN.,1997-09-08,I2,1997-08-28,2024-05-29
1009466,CLOSED,1990-10-19,19,10021,EAST 76 STREET,1041795,108,,32,MAN.,1990-11-19,B1,1990-11-09,2024-05-29
2017504,CLOSED,1995-11-16,2720,10458,GRAND CONCOURSE,2017135,207,,36,BRONX,1996-02-20,A1,1996-02-06,2024-05-29
1021844,CLOSED,1992-11-16,45,10014,GROVE STREET,1083532,102,,49,MAN.,1992-11-25,I2,1992-11-18,2024-05-29
2016876,CLOSED,1995-08-10,150,10452,EAST 165 STREET,2002873,204,,05,BRONX,1995-12-26,I2,1995-12-19,2024-05-29
2017562,CLOSED,1995-11-30,1235,10452,GRAND CONCOURSE,2002849,204,,64,ELEVR,1996-01-03,I2,1995-12-26,2024-05-29
4044491,CLOSED,1995-01-30,34-45,11358,FRANCIS LEWIS BLVD,4135129,411,,05,QNS.,1996-02-20,I2,1996-02-15,2024-05-29
1033546,CLOSED,1995-03-07,374,10010,2 AVENUE,1020543,106,,63,ELEVR,1997-04-08,J2,1995-09-23,2024-05-29
1022001,CLOSED,1992-12-02,374,10010,2 AVENUE,1020543,106,,05,MAN.,1993-02-04,I2,1993-01-28,2024-05-29
4026901,CLOSED,1992-06-03,34-45,11358,FRANCIS LEWIS BLVD,4135129,411,,48,QNS.,1993-03-25,I2,1993-02-25,2024-05-29
1018140,CLOSED,1992-03-13,313,10010,EAST 22 STREET,1020570,106,,44,MAN.,1993-08-12,K1,1993-08-09,2024-05-29
2009202,CLOSED,1992-07-29,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-04-08,J2,1996-04-04,2024-05-29
1008601,CLOSED,1990-08-29,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1991-01-30,C2,1991-01-23,2024-05-29
2020426,CLOSED,1996-11-06,1120,10460,WYATT STREET,2028350,206,,10,BRONX,1996-11-06,I1,1996-11-06,2024-05-29
1046403,CLOSED,1997-01-03,215,10028,EAST 86 STREET,1048790,108,,05,MAN.,1997-01-29,B1,1997-01-28,2024-05-29
3011758,CLOSED,1990-08-31,805,11213,ST MARKS AVENUE,3341622,308,,63,ELEVR,1991-05-21,A1,1991-05-06,2024-05-29
1006646,CLOSED,1990-05-02,94,10014,CHRISTOPHER STREET,1010042,102,,66,MAN.,1991-12-03,I2,1991-12-02,2024-05-29
1045069,CLOSED,1996-10-29,54,10012,PRINCE STREET,1007524,102,,32,MAN.,1996-11-21,B1,1996-10-31,2024-05-29
2002276,CLOSED,1990-01-19,1407,10456,SHERIDAN AVENUE,2007989,204,,58,BOILR,2003-05-23,A1,2003-05-05,2024-05-29
1038771,CLOSED,1996-01-10,56,10002,PIKE ST,1003269,103,,41,BEST,1996-01-19,B1,1996-01-16,2024-05-29
2014335,CLOSED,1994-08-26,225,10463,WEST 232 STREET,2083557,208,,63,ELEVR,1997-04-08,J2,1996-01-20,2024-05-29
3052959,CLOSED,1997-01-24,1193,11213,EASTERN PARKWAY,3037373,308,,43,BKLYN,1997-01-29,C2,1997-01-28,2024-05-29
2020945,CLOSED,1997-01-24,1489,10461,WILLIAMSBRIDGE ROAD,2044129,210,,50,BRONX,1997-01-28,B1,1997-01-27,2024-05-29
2017822,CLOSED,1996-01-18,1110,10460,WYATT STREET,2028349,206,,55,BRONX,1996-04-24,I2,1996-02-02,2024-05-29
2017834,CLOSED,1996-01-19,364,10456,EAST 170 STREET,2007114,204,,43,BRONX,1996-01-19,I2,1996-01-19,2024-05-29
2017886,CLOSED,1996-01-25,346,10460,DEVOE AVENUE,2028349,206,,46,BRONX,1997-04-24,I2,1997-04-23,2024-05-29
2017912,CLOSED,1996-01-31,1110,10460,WYATT STREET,2028349,206,,75,BRONX,1996-03-18,A1,1996-02-02,2024-05-29
2001256,CLOSED,1989-07-21,3569,10467,DEKALB AVENUE,2017838,207,,36,BRONX,1989-08-18,B1,1989-07-27,2024-05-29
1003230,CLOSED,1989-08-21,265,10012,LAFAYETTE STREET,1007524,102,,49,MAN.,1991-11-07,I1,1991-11-04,2024-05-29
1039591,CLOSED,1996-02-27,96,10014,CHRISTOPHER STREET,1010041,102,,05,MAN.,1996-03-06,B1,1996-02-28,2024-05-29
1062230,CLOSED,1998-11-05,301,10010,EAST 21 STREET,1020543,106,,53,MAN.,1999-02-08,I2,1998-11-25,2024-05-29
2018160,CLOSED,1996-03-06,346,10460,DEVOE AVENUE,2028349,206,,73,BRONX,1997-04-24,I2,1997-04-23,2024-05-29
4052846,CLOSED,1996-03-07,83-74,11415,TALBOT ST,4080138,409,,56,BOILR,1996-05-02,I2,1996-04-13,2024-05-29
2021250,CLOSED,1997-02-27,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-09-18,J2,1997-08-20,2024-05-29
1058205,CLOSED,1998-06-05,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1998-06-10,I2,1998-06-09,2024-05-29
2018422,CLOSED,1996-03-29,1505,10452,GRAND CONCOURSE,2008010,204,,62,ELEVR,2001-04-25,A1,1996-04-01,2024-05-29
2021369,CLOSED,1997-03-11,1560,10461,SILVER STREET,2044129,210,,41,BRONX,1997-03-11,B1,1997-03-10,2024-05-29
3063875,CLOSED,1998-06-01,58,11226,LINDEN BOULEVARD,3116712,314,,63,ELEVR,1999-07-22,J2,1998-06-04,2024-05-29
2021407,CLOSED,1997-03-17,225,10463,WEST 232 STREET,2083557,208,,63,ELEVR,1999-05-28,J2,1998-02-18,2024-05-29
2018594,CLOSED,1996-04-17,150,10452,EAST 165 STREET,2002873,204,,40,BRONX,1996-04-19,A1,1996-04-17,2024-05-29
2005272,CLOSED,1991-02-19,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1996-03-29,I2,1991-05-08,2024-05-29
1014302,CLOSED,1991-06-27,155,10028,EAST 84 STREET,1047700,108,,63,ELEVR,1997-04-08,J2,1995-02-07,2024-05-29
2027310,CLOSED,1998-09-30,1000,10451,GRAND CONCOURSE,2002822,204,,73,BRONX,1998-10-02,I2,1998-10-01,2024-05-29
1058455,CLOSED,1998-06-15,200,10029,EAST 110 STREET,1052445,111,,40,MAN.,1998-06-15,B1,1998-06-15,2024-05-29
4083977,CLOSED,1998-09-16,34-43,11358,FRANCIS LEWIS BOULEVARD,4135129,411,,31,QNS.,1998-09-30,I2,1998-09-21,2024-05-29
2021627,CLOSED,1997-04-10,1560,10461,SILVER STREET,2044129,210,,43,BRONX,1997-04-28,H1,1997-04-18,2024-05-29
2021668,CLOSED,1997-04-14,1000,10451,GRAND CONCOURSE,2002822,204,,43,BRONX,1997-04-16,A1,1997-04-15,2024-05-29
3063628,CLOSED,1998-05-20,805,11213,ST MARKS AVE,3341622,308,,40,BKLYN,1998-06-10,A9,1998-06-05,2024-05-29
1041620,CLOSED,1996-05-17,1274,10029,5 AVENUE,1051595,111,,05,MAN.,1996-05-23,I2,1996-05-21,2024-05-29
1041629,CLOSED,1996-05-17,582,10030,ST NICHOLAS AVENUE,1060908,110,,43,MAN.,1996-05-21,B1,1996-05-17,2024-05-29
2027340,CLOSED,1998-10-01,3569,10467,DEKALB AVENUE,2017838,207,,97,BRONX,1998-10-02,F8,1998-10-01,2024-05-29
1062011,CLOSED,1998-10-27,221,10011,WEST 23 STREET,1014148,104,,05,MAN.,1998-11-05,I2,1998-10-29,2024-05-29
1057723,CLOSED,1998-05-20,94,10014,CHRISTOPHER STREET,1010042,102,,28,MAN.,1998-05-27,I2,1998-05-21,2024-05-29
1061453,CLOSED,1998-10-05,552,10033,WEST 185 STREET,1063766,112,,43,MAN.,1998-10-05,A1,1998-10-05,2024-05-29
1062546,CLOSED,1998-11-18,265,10012,LAFAYETTE STREET,1007524,102,,33,MAN.,1998-11-24,I2,1998-11-20,2024-05-29
1041971,CLOSED,1996-06-04,1274,10029,5 AVENUE,1051595,111,,05,MAN.,1996-06-12,I2,1996-06-05,2024-05-29
3063824,CLOSED,1998-05-28,58,11226,LINDEN BOULEVARD,3116712,314,,63,ELEVR,1998-06-09,A1,1998-06-04,2024-05-29
2019239,CLOSED,1996-06-24,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-09-18,J2,1997-08-20,2024-05-29
1063803,CLOSED,1999-01-12,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1999-01-14,A1,1999-01-13,2024-05-29
2024147,CLOSED,1998-01-05,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1999-07-19,J2,1998-01-16,2024-05-29
1054335,CLOSED,1998-01-05,214,10011,WEST 24 STREET,1014159,104,,05,MAN.,1998-01-06,I2,1998-01-06,2024-05-29
1042604,CLOSED,1996-06-28,1274,10029,5 AVENUE,1051595,111,,05,MAN.,1996-07-10,I1,1996-07-09,2024-05-29
3061024,CLOSED,1998-01-07,132,11216,HERKIMER STREET,3053953,303,,43,BKLYN,1998-03-18,I2,1998-01-30,2024-05-29
3061026,CLOSED,1998-01-07,140,11216,HERKIMER STREET,3053955,303,,43,BKLYN,1998-03-18,I2,1998-01-30,2024-05-29
4073994,CLOSED,1998-01-12,34-45,11358,FRANCIS LEWIS BLVD,4135129,411,,05,QNS.,1998-02-03,A1,1998-01-13,2024-05-29
2024216,CLOSED,1998-01-15,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1999-07-19,J2,1998-01-16,2024-05-29
2024249,CLOSED,1998-01-16,2664,10458,GRAND CONCOURSE,2017132,207,,45,BRONX,2006-03-13,L2,2006-03-13,2024-05-29
1042614,CLOSED,1996-06-28,1274,10029,5 AVENUE,1051595,111,,05,MAN.,1996-07-10,I1,1996-07-09,2024-05-29
4074416,CLOSED,1998-01-21,34-45,11358,FRANCIS LEWIS BLVD,4135129,411,,05,QNS.,1998-02-06,B1,1998-01-23,2024-05-29
