bin,violationissuedate,violationnumber,violationtype,violationremarks,violationstatus,devicenumber,devicetype,cycleenddate,borough,block,lot,housenumber,street,city,state,zip,bbl,postcode,latitude,longitude,communityboard,councildistrict,censustract2020,neighborhoodtabulationareanta2020
2002849,2014-05-15,051514LBLVIO07827,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2012 INSPECTION REPORT,Active,20000002984Y0001,Boiler,2012-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
2041215,2018-01-26,012618ACC104911,ACC1,,Active,2P905,Elevator,2016-12-31,Bronx,3947,1,2131,STARLING AVENUE,New York,New York,,2039470001,10462,40.836175,-73.854048,209,18,222,Parkchester
2003025,2023-10-23,VIO-FTC-VT-CAT1-202212-0014774,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P403,Elevator,2022-12-31,Bronx,2496,46,1184,CROMWELL AVENUE,New York,New York,,2024960046,10452,40.835492,-73.922639,204,16,197,Concourse-Concourse Village
3041227,2008-01-03,010308LL629120206,LL6291,,Active,30000939466Y0001,Boiler,2007-12-31,Brooklyn,1519,16,276,MARION STREET,New York,New York,,3015190016,11233,40.680894,-73.918554,303,41,379,Bedford-Stuyvesant (East)
1003556,2014-05-15,051514LBLVIO01902,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2012 INSPECTION REPORT,Active,10000910291Y0001,Boiler,2012-12-31,Manhattan,283,6,119,HENRY STREET,New York,New York,,1002830006,10002,40.713276,-73.991476,103,1,6,Chinatown-Two Bridges
4030008,2023-10-23,VIO-FTC-VT-CAT1-202212-0020222,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Dismissed,4P308,Elevator,2022-12-31,Queens,1291,64,37-21,80 STREET,New York,New York,,4012910064,11372,40.749222,-73.886096,403,25,283,Jackson Heights
2002849,2023-10-23,VIO-FTC-VT-CAT1-202212-0000142,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P1212,Elevator,2022-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
1060908,2023-10-23,VIO-FTC-VT-CAT1-202112-0007500,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,1P15971,Elevator,2021-12-31,Manhattan,2048,25,105,EDGECOMBE AVENUE,New York,New York,,1020480025,10030,40.819948,-73.945849,110,9,22102,Harlem (North)
2002822,2023-10-02,VIO-FTC-VT-PER-202212-0015067,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P1638,Elevator,2022-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
1060908,2023-10-23,VIO-FTC-VT-CAT1-202212-0017451,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,1P15971,Elevator,2022-12-31,Manhattan,2048,25,105,EDGECOMBE AVENUE,New York,New York,,1020480025,10030,40.819948,-73.945849,110,9,22102,Harlem (North)
2008010,2001-02-27,022701LL629109894,LL6291,,Active,20000005212Y0001,Boiler,2000-12-31,Bronx,2835,26,1505,GRAND CONCOURSE,New York,New York,,2028350026,10452,40.841216,-73.912614,204,16,209,Mount Eden-Claremont (West)
2002814,2023-10-23,VIO-FTC-VT-CAT1-202112-0002069,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P631,Elevator,2021-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
2044129,2009-12-31,123109LBLVIO07910,LBLVIO,,Active,20000014034Y0001,Boiler,2009-11-15,Bronx,4077,34,1487,WILLIAMSBRIDGE ROAD,New York,New York,,2040770034,10461,40.844072,-73.845852,210,18,200,Westchester Square
1079313,2005-10-01,100105LL108101265,LL1081,,Dismissed,1P10609,Elevator,2005-12-31,Manhattan,1143,42,124,WEST   72 STREET,New York,New York,,1011430042,10023,40.777891,-73.979954,107,6,157,Upper West Side-Lincoln Square
1047585,1997-02-10,021097LL629106467,LL6291,,Active,10000007757Y0001,Boiler,1995-12-31,Manhattan,1510,53,1201,LEXINGTON AVENUE,New York,New York,,1015100053,10028,40.776559,-73.957716,108,4,140,Upper East Side-Carnegie Hill
1005262,2023-11-14,VIO-FTC-BE-EXT-201912-0005438,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Active,10000021918Y0001,Boiler,2019-12-31,Manhattan,407,54,513,EAST 13 STREET,New York,New York,,1004070054,10009,40.729391,-73.98004,103,2,34,East Village
2124437,2023-06-30,063023LBLVIO08040,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2020 EXTERNAL LOW PRESSURE INSPECTION,Active,20000164035Y0001,Boiler,2020-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
1061760,1993-03-18,031893LL629101012,LL6291,,Active,10000008528Y0001,Boiler,1992-12-31,Manhattan,2072,8,559,WEST 140 STREET,New York,New York,,1020720008,10031,40.822869,-73.951794,109,7,225,Hamilton Heights-Sugar Hill
2083557,2023-10-02,VIO-FTC-VT-PER-202212-0008702,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P1259,Elevator,2022-12-31,Bronx,5754,90,225,WEST 232 STREET,New York,New York,,2057540090,10463,40.880352,-73.904318,208,11,287,Kingsbridge-Marble Hill
1085192,1997-02-10,021097LL629106039,LL6291,,Active,10000004640Y0001,Boiler,1995-12-31,Manhattan,1429,31,238,EAST   75 STREET,New York,New York,,1014290031,10021,40.771292,-73.958243,108,5,134,Upper East Side-Lenox Hill-Roosevelt Island
3116708,2023-10-23,VIO-FTC-VT-CAT1-201812-0000244,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Affirmation of Correction,Active,3P2834,Elevator,2018-12-31,Brooklyn,5086,27,38,LINDEN BOULEVARD,New York,New York,,3050860027,11226,40.652216,-73.957712,314,40,79602,Flatbush
2018647,2023-11-14,VIO-FTC-BE-EXT-201812-0002093,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000009904Y0001,Boiler,2018-12-31,Bronx,3356,146,3525,DECATUR AVENUE,New York,New York,,2033560146,10467,40.879228,-73.872353,207,11,43102,Norwood
2115902,2023-10-23,VIO-FTC-VT-CAT1-202012-0002542,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P11533,Elevator,2020-12-31,Bronx,2940,40,1779,SOUTHERN BOULEVARD,New York,New York,,2029400040,10460,40.83784,-73.887495,203,15,155,Crotona Park East
1020570,2023-10-23,VIO-FTC-VT-CAT1-202012-0010684,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Dismissed,1P30511,Elevator,2020-12-31,Manhattan,928,9,313,EAST 22 STREET,New York,New York,,1009280009,10010,40.736992,-73.980821,106,2,64,Gramercy
2002815,2023-10-23,VIO-FTC-VT-CAT1-202112-0004369,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P593,Elevator,2021-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
2016127,2023-11-14,VIO-FTC-BE-EXT-202012-0000589,FTC-BE-EXT-LP,Violation Issued-Failure To File 2020 External Inspection Affirmation of Correction for LP Device,Active,20000030802Y0001,Boiler,2020-12-31,Bronx,3266,90,3044,ALBANY CRESCENT,New York,New York,,2032660090,10463,40.877233,-73.90365,208,14,277,Kingsbridge Heights-Van Cortlandt Village
4135129,2023-06-30,063023LBLVIO41139,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Active,40000161671N0001,Boiler,2021-12-31,Queens,6077,51,34-43,FRANCIS LEWIS BOULEVARD,New York,New York,,4060770051,11358,40.765568,-73.789208,411,19,1099,Auburndale
2024878,2019-09-06,090619ACC104030,ACC1,,Active,2P785,Elevator,2017-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
2018349,2019-09-06,090619ACC103987,ACC1,,Active,2P675,Elevator,2017-12-31,Bronx,3347,10,3260,PERRY AVENUE,New York,New York,,2033470010,10467,40.876018,-73.876091,207,11,42902,Norwood
1047584,1999-03-16,031699LL629104661,LL6291,,Active,10000035707N0001,Boiler,1998-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
2049375,2006-01-06,010606LL629106730,LL6291,,Active,20000011978Y0001,Boiler,2005-12-31,Bronx,4317,40,2185,BOLTON STREET,New York,New York,,2043170040,10462,40.8559,-73.868667,211,13,22401,Pelham Parkway-Van Nest
3115582,2023-06-30,063023LBLVIO29810,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Active,30000013293Y0001,Boiler,2021-12-31,Brooklyn,5043,71,165,HAWTHORNE STREET,New York,New York,,3050430071,11225,40.657567,-73.954844,309,40,802,Prospect Lefferts Gardens-Wingate
2002822,2001-03-08,030801LL108101625,LL1081,,Active,2P1637,Elevator,2000-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
2002822,2003-03-19,031903LL629108855,LL6291,,Active,20000016137Y0001,Boiler,2002-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
2002822,2023-10-23,VIO-FTC-VT-CAT1-202212-0014776,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P1637,Elevator,2022-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
2002814,2002-02-19,021902LL108101861,LL1081,,Active,2P631,Elevator,2001-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
2002814,2023-10-02,VIO-FTC-VT-PER-202212-0001499,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P634,Elevator,2022-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
4135129,2017-01-03,010317ACC109890,ACC1,,Active,4P11951,Elevator,2015-12-31,Queens,6077,51,34-43,FRANCIS LEWIS BOULEVARD,New York,New York,,4060770051,11358,40.765568,-73.789208,411,19,1099,Auburndale
2007907,2023-10-23,VIO-FTC-VT-CAT1-201812-0005049,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Affirmation of Correction,Active,2P1752,Elevator,2018-12-31,Bronx,2827,46,1895,MORRIS AVENUE,New York,New York,,2028270046,10453,40.849458,-73.9081,205,14,23301,Mount Hope
1047584,2023-06-30,063023HBLVIO02479,HBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL HGH PRESSURE INSPECTION,Active,10000053198N0001,Boiler,2021-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1025173,1998-05-04,050498LL629102104,LL6291,,Active,10000039594Y0001,Boiler,1997-12-31,Manhattan,1041,5,365,WEST 50 STREET,New York,New York,,1010410005,10019,40.763211,-73.988272,104,3,133,Hell's Kitchen
1085192,1993-03-18,031893LL629100501,LL6291,,Active,10000004640Y0002,Boiler,1992-12-31,Manhattan,1429,31,238,EAST   75 STREET,New York,New York,,1014290031,10021,40.771292,-73.958243,108,5,134,Upper East Side-Lenox Hill-Roosevelt Island
1064506,2023-11-14,VIO-FTC-BE-EXT-201812-0000359,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,10000070873Y0001,Boiler,2018-12-31,Manhattan,2202,31,407,WEST 205 STREET,New York,New York,,1022020031,10034,40.862552,-73.918367,112,10,299,Inwood
2124437,2017-02-24,022417LBLVIO05087,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2015 INSPECTION REPORT,Active,20000164035Y0002,Boiler,2015-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
3063299,2019-11-08,110819LBLVIO09557,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,Active,30000103053N0001,Boiler,2017-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
1004255,2011-12-13,121311LBLVIO00306,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2010 INSPECTION REPORT,Dismissed,10000826510N0002,Boiler,2010-11-15,Manhattan,350,35,158,STANTON STREET,New York,New York,,1003500035,10002,40.720408,-73.985021,103,2,3001,Lower East Side
1005262,2009-12-31,123109LBLVIO00539,LBLVIO,,Dismissed,10000021918Y0001,Boiler,2009-11-15,Manhattan,407,54,513,EAST 13 STREET,New York,New York,,1004070054,10009,40.729391,-73.98004,103,2,34,East Village
2049375,2001-03-08,030801LL108101899,LL1081,,Active,2P1656,Elevator,2000-12-31,Bronx,4317,40,2185,BOLTON STREET,New York,New York,,2043170040,10462,40.8559,-73.868667,211,13,22401,Pelham Parkway-Van Nest
3115582,2005-01-31,013105LL629110741,LL6291,,Active,30000013293Y0001,Boiler,2004-12-31,Brooklyn,5043,71,165,HAWTHORNE STREET,New York,New York,,3050430071,11225,40.657567,-73.954844,309,40,802,Prospect Lefferts Gardens-Wingate
2041215,2023-10-23,VIO-FTC-VT-CAT1-202112-0004081,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P931,Elevator,2021-12-31,Bronx,3947,1,2131,STARLING AVENUE,New York,New York,,2039470001,10462,40.836175,-73.854048,209,18,222,Parkchester
2002849,2001-03-08,030801LL108101627,LL1081,,Active,2P1212,Elevator,2000-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
2014943,2002-03-26,032602LL629111562,LL6291,,Active,20000927669Y0001,Boiler,2001-12-31,Bronx,3225,101,2316,LORING PLACE,New York,New York,,2032250101,10468,40.861995,-73.908169,207,14,255,University Heights (North)-Fordham
3041227,2023-11-14,VIO-FTC-BE-EXT-202112-0002281,FTC-BE-EXT-LP,Violation Issued-Failure To File 2021 External Inspection Affirmation of Correction for LP Device,Active,30000200007Y0001,Boiler,2021-12-31,Brooklyn,1519,16,276,MARION STREET,New York,New York,,3015190016,11233,40.680894,-73.918554,303,41,379,Bedford-Stuyvesant (East)
2024878,2019-09-06,090619ACC104031,ACC1,,Active,2P786,Elevator,2017-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
2016127,2023-11-14,VIO-FTC-BE-EXT-201812-0000577,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000030802Y0001,Boiler,2018-12-31,Bronx,3266,90,3044,ALBANY CRESCENT,New York,New York,,2032660090,10463,40.877233,-73.90365,208,14,277,Kingsbridge Heights-Van Cortlandt Village
4029695,2019-09-06,090619ACC105102,ACC1,,Dismissed,4P315,Elevator,2017-12-31,Queens,1281,65,35-21,81 STREET,New York,New York,,4012810065,11372,40.75136,-73.88554,403,25,283,Jackson Heights
2017807,2018-01-26,012618ACC104818,ACC1,,Active,2P612,Elevator,2016-12-31,Bronx,3328,90,3556,ROCHAMBEAU AVENUE,New York,New York,,2033280090,10467,40.882762,-73.878913,207,11,43101,Norwood
2014941,2023-11-14,VIO-FTC-BE-EXT-202212-0001480,FTC-BE-EXT-LP,Violation Issued-Failure To File 2022 External Inspection Affirmation of Correction for LP Device,Active,20000166190Y0001,Boiler,2022-12-31,Bronx,3225,94,2300,LORING PLACE,New York,New York,,2032250094,10468,40.861675,-73.908416,207,14,255,University Heights (North)-Fordham
2048797,2023-10-23,VIO-FTC-VT-CAT1-202112-0000908,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P1970,Elevator,2021-12-31,Bronx,4288,45,2125,HOLLAND AVENUE,New York,New York,,2042880045,10462,40.853846,-73.865783,211,13,22404,Pelham Parkway-Van Nest
2002815,2023-10-23,VIO-FTC-VT-CAT1-202212-0012205,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P592,Elevator,2022-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
1047585,1998-05-04,050498LL629100626,LL6291,,Active,10000007757Y0001,Boiler,1997-12-31,Manhattan,1510,53,1201,LEXINGTON AVENUE,New York,New York,,1015100053,10028,40.776559,-73.957716,108,4,140,Upper East Side-Carnegie Hill
1003269,2023-10-23,VIO-FTC-VT-CAT1-201912-0001473,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,1P26369,Elevator,2019-12-31,Manhattan,274,14,75,MONROE STREET,New York,New York,,1002740014,10002,40.711749,-73.992602,103,1,8,Chinatown-Two Bridges
4080137,2023-10-23,VIO-FTC-VT-CAT1-202212-0020146,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Dismissed,4P686,Elevator,2022-12-31,Queens,3355,129,83-52,TALBOT STREET,New York,New York,,4033550129,11415,40.708618,-73.827669,409,29,138,Kew Gardens
2124437,2023-10-23,VIO-FTC-VT-CAT1-202012-0006270,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P11355,Elevator,2020-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
1050029,2015-10-01,100115LBLVIO01072,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2014 INSPECTION REPORT,Active,10000045873Y0001,Boiler,2014-12-31,Manhattan,1549,17,337,EAST 86 STREET,New York,New York,,1015490017,10028,40.777344,-73.950458,108,5,14602,Upper East Side-Yorkville
1050029,2023-06-30,063023LBLVIO25594,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Active,10000045873Y0002,Boiler,2021-12-31,Manhattan,1549,17,337,EAST 86 STREET,New York,New York,,1015490017,10028,40.777344,-73.950458,108,5,14602,Upper East Side-Yorkville
1052375,2023-06-30,063023LBLVIO41429,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Active,10000066520Y0002,Boiler,2021-12-31,Manhattan,1646,7501,1865,2 AVENUE,New York,New York,,1016467501,10029,40.784355,-73.947023,111,8,15602,East Harlem (South)
1050027,1993-03-18,031893LL629113228,LL6291,,Active,,Boiler,1992-12-31,Manhattan,1549,15,333,EAST 86 STREET,New York,New York,,1015490015,10028,40.777374,-73.950531,108,5,14602,Upper East Side-Yorkville
2024878,2023-10-23,VIO-FTC-VT-CAT1-202212-0019978,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P787,Elevator,2022-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
4080138,2019-09-06,090619ACC105295,ACC1,,Dismissed,4P688,Elevator,2017-12-31,Queens,3355,136,83-64,TALBOT STREET,New York,New York,,4033550136,11415,40.708612,-73.827665,409,29,138,Kew Gardens
2025816,2008-01-03,010308LL629107107,LL6291,,Active,20000033532Y0001,Boiler,2007-12-31,Bronx,3792,37,1990,GLEASON AVENUE,New York,New York,,2037920037,10472,40.830992,-73.857915,209,18,72,Castle Hill-Unionport
2008010,2023-10-23,VIO-FTC-VT-CAT1-202212-0007088,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P847,Elevator,2022-12-31,Bronx,2835,26,1505,GRAND CONCOURSE,New York,New York,,2028350026,10452,40.841216,-73.912614,204,16,209,Mount Eden-Claremont (West)
1047584,2023-06-30,063023HBLVIO02380,HBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2020 INTERNAL HGH PRESSURE INSPECTION,Active,10000053198N0001,Boiler,2020-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1047584,2019-11-08,110819LBLVIO00762,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,Active,10000035707N0001,Boiler,2017-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
2013743,2019-09-06,090619ACC103821,ACC1,,Active,2P239,Elevator,2017-12-31,Bronx,3160,24,2065,GRAND CONCOURSE,New York,New York,,2031600024,10453,40.85297,-73.903175,205,14,23501,Mount Hope
2014943,2023-11-14,VIO-FTC-BE-EXT-201812-0001708,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000167778Y0001,Boiler,2018-12-31,Bronx,3225,101,2316,LORING PLACE,New York,New York,,2032250101,10468,40.861995,-73.908169,207,14,255,University Heights (North)-Fordham
2003025,2023-10-23,VIO-FTC-VT-CAT1-202112-0006414,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P403,Elevator,2021-12-31,Bronx,2496,46,1184,CROMWELL AVENUE,New York,New York,,2024960046,10452,40.835492,-73.922639,204,16,197,Concourse-Concourse Village
2017622,2023-10-23,VIO-FTC-VT-CAT1-202012-0006642,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P533,Elevator,2020-12-31,Bronx,3320,60,2922,GRAND CONCOURSE,New York,New York,,2033200060,10458,40.871519,-73.888627,207,14,40702,Bedford Park
2083557,2023-11-14,VIO-FTC-BE-EXT-201812-0002173,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000015557Y0001,Boiler,2018-12-31,Bronx,5754,90,225,WEST 232 STREET,New York,New York,,2057540090,10463,40.880352,-73.904318,208,11,287,Kingsbridge-Marble Hill
1079313,2009-02-27,022709LL108100853,LL1081,,Dismissed,1P10609,Elevator,2008-12-31,Manhattan,1143,42,124,WEST   72 STREET,New York,New York,,1011430042,10023,40.777891,-73.979954,107,6,157,Upper West Side-Lincoln Square
